Feature,RF_Importance,F_Score
"('mfcc', 'std.3')",0.004191878477771261,3713.807804136401
"('spectral_centroid', 'mean')",0.0040377369659645515,3419.848395308421
"('spectral_centroid', 'std')",0.0040165812748023414,4119.020447202937
"('spectral_contrast', 'mean.6')",0.004011641822069744,4929.366369770404
"('spectral_contrast', 'max.6')",0.003950812160863689,7190.65454086015
"('spectral_rolloff', 'kurtosis')",0.003944713000991997,1499.6857456793991
"('spectral_rolloff', 'mean')",0.003908549260327183,4061.8605400389742
"('mfcc', 'min.9')",0.003811027814816727,3347.22618638114
"('tonnetz', 'std.3')",0.003796938049150287,4189.009115006111
"('mfcc', 'median.9')",0.0037795132351278486,6374.097121199128
"('spectral_contrast', 'median.6')",0.0036907954445949266,4871.608762430737
"('mfcc', 'median.5')",0.0036549054887069525,7980.839626258407
"('zcr', 'std')",0.0036005467677009896,2922.669851736967
"('spectral_contrast', 'mean.1')",0.003577969604060012,4445.247884177618
"('mfcc', 'median.18')",0.003577428025926564,2405.7535206503712
"('mfcc', 'min.4')",0.0035537501708169704,2971.486633467701
"('spectral_contrast', 'skew.2')",0.00349549528132686,4325.378048120064
"('mfcc', 'mean.18')",0.0034782355546680898,2339.209378411942
"('mfcc', 'median.8')",0.0034768662671870202,5569.10856987707
"('tonnetz', 'std.5')",0.003437872889439653,5208.589215926004
"('tonnetz', 'std')",0.0034316187276354528,4300.178769376175
"('spectral_contrast', 'median.4')",0.0034066403868800543,4258.665601774742
"('spectral_rolloff', 'std')",0.003320282521324178,4325.551012521666
"('spectral_bandwidth', 'std')",0.0032695545925093537,3421.3924490931395
"('spectral_bandwidth', 'mean')",0.003258928879019417,4475.567029979495
"('mfcc', 'mean.5')",0.0031900242762358828,8191.399801649985
"('mfcc', 'skew')",0.0031690436324650468,2359.830902138943
"('mfcc', 'max.4')",0.0031647089715385506,4609.6717641170335
"('zcr', 'mean')",0.0031588519009398217,1561.241529329518
"('spectral_contrast', 'std.2')",0.003148597771714265,1829.707860298856
"('mfcc', 'skew.3')",0.003143504330268439,1712.611730239661
"('spectral_contrast', 'std.3')",0.0030951949431031133,1799.3066321524163
"('tonnetz', 'std.1')",0.003072453921501407,3916.281157195871
"('spectral_rolloff', 'skew')",0.003037901653701194,3932.101308589864
"('mfcc', 'skew.2')",0.0030288267958689576,2537.9471992197737
"('rmse', 'max')",0.0030217383716065844,3767.0466909235743
"('mfcc', 'std.7')",0.0030171063456478887,2644.932469657585
"('mfcc', 'max.18')",0.0030122078387685865,2266.751196952537
"('chroma_cqt', 'max.2')",0.0030058439385792553,7092.17054251998
"('spectral_contrast', 'std.6')",0.0029861186644317256,4730.487366163342
"('mfcc', 'median.19')",0.0029623846639162147,2026.7286269997298
"('spectral_contrast', 'median.5')",0.0029621301587505026,624.362020236577
"('mfcc', 'min')",0.0029597316165576957,2888.898209661544
"('spectral_contrast', 'skew.3')",0.0029255227568251822,3921.997097759147
"('mfcc', 'median.4')",0.00289595175535491,2612.5578740107208
"('mfcc', 'mean.9')",0.0028889962288333555,6160.634897724091
"('mfcc', 'std.8')",0.002877723350295411,2362.8379562755936
"('mfcc', 'kurtosis.3')",0.002864019995366031,548.1942508630444
"('mfcc', 'median.13')",0.0028444052340404554,4996.750957304004
"('mfcc', 'min.6')",0.002803056263875797,3404.7617666576175
"('spectral_contrast', 'mean.4')",0.002792613024040712,3979.0359299001884
"('mfcc', 'max.19')",0.002788571431770527,2281.0737466486567
"('rmse', 'skew')",0.0027796659124161077,1373.1425341475083
